GHHK01016803_1__124_1482___	PTHR10357	SF:PTHR10357:SF196;NAME:Maltase A2;
GHHK01011742_1__93_728___	PTHR13678	SF:PTHR13678:SF18;NAME:LD45836p;
GHHK01026821_1__91_1377___	PTHR11590	SF:PTHR11590:SF52;NAME:;
GHHK01026820_1__1_1029___	PTHR11590	SF:PTHR11590:SF52;NAME:;
GHHK01006240_1__66_839___	PTHR13691	SF:PTHR13691:SF16;NAME:60S ribosomal protein L8;  GO-Annotations:GO:0003735;GO:0044822;GO:0002181;GO:0022625;
GHHK01003768_1__1_414___	PTHR10972	SF:PTHR10972:SF103;NAME:Oxysterol-binding protein;
GHHK01023080_1__1_309___	PTHR24073	SF:PTHR24073:SF853;NAME:Ras-related protein Rab-3;  GO-Annotations:GO:0017157;GO:0003924;GO:0006886;GO:0009306;GO:0006904;GO:0012505;GO:0032482;
GHHK01013677_1__1_306___	PTHR10772	SF:PTHR10772:SF0;NAME:10 kDa heat shock protein, mitochondrial;  GO-Annotations:GO:0005759;GO:0051085;GO:0051087;GO:0046872;GO:0051082;
GHHK01001302_1__105_3614___	PTHR23220	SF:PTHR23220:SF83;NAME:Integrin alpha-PS3-related;
GHHK01006064_1__146_2890___	PTHR23220	SF:PTHR23220:SF83;NAME:Integrin alpha-PS3-related;
GHHK01008528_1__80_880___	PTHR11581	SF:PTHR11581:SF0;NAME:40S ribosomal protein S4-related;  GO-Annotations:GO:0003735;GO:0044822;GO:0006412;GO:0022627;
GHHK01013118_1__207_1283___	PTHR10803	SF:PTHR10803:SF3;NAME:ATPase ASNA1;
GHHK01018347_1__1_2256___	PTHR10404	SF:PTHR10404:SF46;NAME:Glutamate carboxypeptidase 2 homolog;
GHHK01011403_1__117_1553___	PTHR10906	SF:PTHR10906:SF10;NAME:Protein transport protein Sec61 subunit alpha isoform 2;
GHHK01007895_1__88_768___	PTHR12317	SF:PTHR12317:SF29;NAME:Atp6v1e1 protein;
GHHK01026670_1__178_1131___	PTHR11732	SF:PTHR11732:SF375;NAME:1,5-anhydro-D-fructose reductase;
GHHK01015511_1__32_1936___	PTHR22594	SF:PTHR22594:SF16;NAME:Asparagine--tRNA ligase, cytoplasmic;
GHHK01010571_1__63_4811___	PTHR11226	SF:PTHR11226:SF0;NAME:UDP-glucose:glycoprotein glucosyltransferase;  GO-Annotations:GO:0005783;GO:0030968;GO:0071712;GO:0018279;GO:0003980;GO:0051082;
GHHK01014812_1__93_974___	PTHR24089	SF:PTHR24089:SF70;NAME:Congested-like trachea protein;  GO-Annotations:GO:0006839;GO:0000066;GO:0000064;GO:0005743;GO:0016021;GO:0022857;
GHHK01017898_1__81_1148___	PTHR24089	SF:PTHR24089:SF50;NAME:MIP08013p1;  GO-Annotations:GO:0006839;GO:0005743;GO:0016021;GO:0022857;
GHHK01015876_1__1_1014___	PTHR24089	SF:PTHR24089:SF652;NAME:ADP,ATP carrier protein-related;  GO-Annotations:GO:0006839;GO:0005743;GO:0016021;GO:0022857;
GHHK01010403_1__1_1014___	PTHR24089	SF:PTHR24089:SF652;NAME:ADP,ATP carrier protein-related;  GO-Annotations:GO:0006839;GO:0005743;GO:0016021;GO:0022857;
GHHK01002422_1__3_2210___	PTHR11827	SF:PTHR11827:SF48;NAME:GH09711p;  GO-Annotations:GO:0035725;GO:0055075;GO:0015379;GO:1902476;GO:0006884;GO:0010107;GO:0015081;GO:0055078;GO:0055064;GO:0015378;GO:0008511;GO:0022820;
GHHK01016520_1__134_715___	PTHR14130	SF:PTHR14130:SF14;NAME:Rho GTPase-activating protein 92B;  GO-Annotations:GO:0048365;GO:0032956;GO:0005096;
GHHK01007191_1__1_501___	PTHR11661	SF:PTHR11661:SF2;NAME:60S ribosomal protein L12;  GO-Annotations:GO:0003735;GO:0000027;GO:0005840;GO:0022625;GO:0019843;
GHHK01000826_1__1_378___	PTHR11661	SF:PTHR11661:SF2;NAME:60S ribosomal protein L12;  GO-Annotations:GO:0003735;GO:0000027;GO:0005840;GO:0022625;GO:0019843;
GHHK01007387_1__2_967___	PTHR11635	SF:PTHR11635:SF151;NAME:cAMP-dependent protein kinase type I regulatory subunit;
GHHK01005476_1__155_757___	PTHR10394	SF:PTHR10394:SF3;NAME:40S ribosomal protein S8;  GO-Annotations:GO:0003735;GO:0000462;GO:0022627;
GHHK01011549_1__101_448___	PTHR12538	SF:PTHR12538:SF0;NAME:40S ribosomal protein S26-related;  GO-Annotations:GO:0003735;GO:0003729;GO:0022627;
GHHK01011943_1__167_2212___	PTHR43347	SF:PTHR43347:SF3;NAME:Acyl-CoA synthetase short-chain family member 3, mitochondrial;
GHHK01018646_1__506_2317___	PTHR10677	SF:PTHR10677:SF3;NAME:FI07626p-related;
GHHK01012259_1__77_2545___	PTHR10082	SF:PTHR10082:SF41;NAME:Integrin beta-PS;
GHHK01015939_1__125_1705___	PTHR23316	SF:PTHR23316:SF36;NAME:Importin subunit alpha;  GO-Annotations:GO:0006607;GO:0005654;GO:0008139;GO:0005643;GO:0008565;GO:0005829;
GHHK01016947_1__241_1980___	PTHR11091	SF:PTHR11091:SF0;NAME:;
GHHK01011116_1__219_1817___	PTHR10857	SF:PTHR10857:SF101;NAME:Copine family protein 5;
GHHK01004771_1__131_1831___	PTHR10857	SF:PTHR10857:SF64;NAME:CoPiNe domain protein, Atypical;
GHHK01027340_1__120_737___	PTHR43355	SF:PTHR43355:SF2;NAME:Flavin reductase (NADPH);
GHHK01012733_1__115_882___	PTHR11760	SF:PTHR11760:SF9;NAME:40S ribosomal protein S3;  GO-Annotations:GO:0003735;GO:0003684;GO:0008534;GO:0005634;GO:0006281;GO:0022627;
GHHK01022399_1__69_629___	PTHR44350	SF:PTHR44350:SF1;NAME:;
GHHK01009319_1__170_1261___	PTHR11728	SF:PTHR11728:SF8;NAME:Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic;
GHHK01012781_1__95_574___	PTHR11717	SF:PTHR11717:SF7;NAME:Low molecular weight phosphotyrosine protein phosphatase;
GHHK01016547_1__202_2589___	PTHR11099	SF:PTHR11099:SF0;NAME:Vacuolar protein sorting-associated protein 35;  GO-Annotations:GO:0030904;GO:0006886;GO:0005770;GO:0008565;GO:0042147;
GHHK01009533_1__289_1587___	PTHR13806	SF:PTHR13806:SF20;NAME:Flotillin-2;
GHHK01017780_1__124_1482___	PTHR13806	SF:PTHR13806:SF16;NAME:Flotillin-1;
GHHK01008626_1__91_639___	PTHR24103	SF:PTHR24103:SF557;NAME:;
GHHK01000610_1__32_538___	PTHR21261	SF:PTHR21261:SF5;NAME:Beat-Va, isoform A-related;  GO-Annotations:GO:0008045;
GHHK01002367_1__96_833___	PTHR10371	SF:PTHR10371:SF3;NAME:NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial;  GO-Annotations:GO:0006120;GO:0005747;GO:0022904;GO:0008137;
GHHK01004354_1__93_548___	PTHR11885	SF:PTHR11885:SF6;NAME:40S ribosomal protein S13;  GO-Annotations:GO:0003735;GO:0005730;GO:0070181;GO:0022627;
GHHK01002282_1__34_489___	PTHR11885	SF:PTHR11885:SF6;NAME:40S ribosomal protein S13;  GO-Annotations:GO:0003735;GO:0005730;GO:0070181;GO:0022627;
GHHK01013866_1__37_903___	PTHR10653	SF:PTHR10653:SF0;NAME:F-actin-capping protein subunit alpha;
GHHK01009659_1__601_2154___	PTHR12114	SF:PTHR12114:SF4;NAME:GH23568p;  GO-Annotations:GO:0005737;GO:0034446;GO:0005925;GO:0007163;GO:0015629;GO:0030031;GO:0031532;GO:0003779;
GHHK01005077_1__213_2099___	PTHR19248	SF:PTHR19248:SF16;NAME:ATP-binding cassette sub-family E member 1;  GO-Annotations:GO:0043024;GO:0006413;GO:0005524;GO:0005506;GO:0000054;GO:0006415;GO:0005852;
GHHK01017253_1__125_1336___	PTHR10309	SF:PTHR10309:SF0;NAME:Mannose-6-phosphate isomerase;  GO-Annotations:GO:0006486;GO:0005737;GO:0000032;GO:0004476;GO:0009298;
GHHK01016964_1__3_395___	PTHR11849	SF:PTHR11849:SF190;NAME:;  GO-Annotations:GO:0000981;GO:0030154;GO:0006357;GO:0005634;
GHHK01014727_1__272_2107___	PTHR11616	SF:PTHR11616:SF243;NAME:Transporter;  GO-Annotations:GO:0005215;GO:0006810;
GHHK01015174_1__328_4644___	PTHR14166	SF:PTHR14166:SF17;NAME:Slit-Robo GAP homolog;  GO-Annotations:GO:0048365;GO:0005737;GO:0030336;
GHHK01017649_1__1_999___	PTHR22780	SF:PTHR22780:SF4;NAME:AP-2 complex subunit alpha-2;
GHHK01012654_1__193_2097___	PTHR22780	SF:PTHR22780:SF4;NAME:AP-2 complex subunit alpha-2;
GHHK01010227_1__131_2878___	PTHR22780	SF:PTHR22780:SF5;NAME:Adaptor protein complex 1, gamma subunit, isoform D;
GHHK01013453_1__148_2127___	PTHR11679	SF:PTHR11679:SF2;NAME:Sec1 family domain-containing protein 1;
GHHK01014911_1__1_744___	PTHR10639	SF:PTHR10639:SF7;NAME:Clathrin light chain;  GO-Annotations:GO:0072583;GO:0030125;GO:0032050;
GHHK01001474_1__114_1142___	PTHR43329	SF:PTHR43329:SF17;NAME:Epoxide hydrolase 2;
GHHK01016348_1__73_1713___	PTHR11353	SF:PTHR11353:SF19;NAME:T-complex protein 1 subunit theta;  GO-Annotations:GO:0044183;GO:0006458;GO:0005832;GO:0051082;
GHHK01008782_1__1_1632___	PTHR11353	SF:PTHR11353:SF94;NAME:T-complex protein 1 subunit epsilon;  GO-Annotations:GO:0044183;GO:0006458;GO:0005832;GO:0051082;
GHHK01017571_1__139_1749___	PTHR11353	SF:PTHR11353:SF23;NAME:T-complex protein 1 subunit beta;  GO-Annotations:GO:0044183;GO:0006458;GO:0005832;GO:0051082;
GHHK01018098_1__93_1694___	PTHR11353	SF:PTHR11353:SF21;NAME:T-complex protein 1 subunit zeta;  GO-Annotations:GO:0044183;GO:0006458;GO:0005832;GO:0051082;
GHHK01010552_1__97_1740___	PTHR11353	SF:PTHR11353:SF22;NAME:T-complex protein 1 subunit eta;  GO-Annotations:GO:0044183;GO:0006458;GO:0005832;GO:0051082;
GHHK01007911_1__224_1819___	PTHR11353	SF:PTHR11353:SF26;NAME:T-complex protein 1 subunit delta;  GO-Annotations:GO:0044183;GO:0006458;GO:0005832;GO:0051082;
GHHK01014936_1__84_1748___	PTHR11353	SF:PTHR11353:SF84;NAME:T-complex protein 1 subunit alpha;  GO-Annotations:GO:0044183;GO:0006458;GO:0005832;GO:0051082;
GHHK01007230_1__99_1898___	PTHR11353	SF:PTHR11353:SF64;NAME:60 kDa heat shock protein, mitochondrial;  GO-Annotations:GO:0044183;GO:0006458;GO:0007005;GO:0008637;GO:0005829;GO:0005739;GO:0045041;GO:0051082;
GHHK01013009_1__67_1710___	PTHR11353	SF:PTHR11353:SF24;NAME:T-complex protein 1 subunit gamma;  GO-Annotations:GO:0044183;GO:0006458;GO:0005832;GO:0051082;
GHHK01027335_1__1_984___	PTHR10829	SF:PTHR10829:SF23;NAME:Cortactin, isoform A;
GHHK01006053_1__137_901___	PTHR21294	SF:PTHR21294:SF8;NAME:Electron transfer flavoprotein subunit beta;  GO-Annotations:GO:0009055;GO:0005829;
GHHK01012052_1__75_560___	PTHR20981	SF:PTHR20981:SF6;NAME:Ribosomal protein L21;  GO-Annotations:GO:0003735;GO:0022625;
GHHK01017229_1__31_705___	PTHR13844	SF:PTHR13844:SF4;NAME:LD45195p;
GHHK01007609_1__1_1317___	PTHR13844	SF:PTHR13844:SF7;NAME:Brahma-associated protein of 60 kDa;
GHHK01005263_1__97_813___	PTHR10134	SF:PTHR10134:SF1;NAME:Cytochrome b-c1 complex subunit Rieske, mitochondrial-related;
GHHK01010351_1__209_763___	PTHR12300	SF:PTHR12300:SF22;NAME:LP05237p-related;
GHHK01019170_1__197_7120___	PTHR11915	SF:PTHR11915:SF273;NAME:Spectrin beta chain;
GHHK01008912_1__29_1207___	PTHR21530	SF:PTHR21530:SF0;NAME:TraB domain-containing protein;
GHHK01009063_1__1_846___	PTHR21139	SF:PTHR21139:SF15;NAME:Triosephosphate isomerase;  GO-Annotations:GO:0006096;GO:0006094;GO:0019563;GO:0005829;GO:0046166;GO:0004807;
GHHK01014887_1__44_1177___	PTHR24055	SF:PTHR24055:SF341;NAME:Mitogen-activated protein kinase ERK-A;  GO-Annotations:GO:0007166;GO:0005737;GO:0010468;GO:0035556;GO:0004707;GO:0005634;
GHHK01005534_1__79_441___	PTHR10122	SF:PTHR10122:SF0;NAME:Cytochrome c oxidase subunit 5B, mitochondrial;  GO-Annotations:GO:0006123;GO:0042776;GO:0004129;GO:0005751;
GHHK01000734_1__148_2253___	PTHR24036	SF:PTHR24036:SF5;NAME:Thrombomodulin;
GHHK01002904_1__94_657___	PTHR24070	SF:PTHR24070:SF263;NAME:Ras-like protein 3;
GHHK01012192_1__123_980___	PTHR11593	SF:PTHR11593:SF10;NAME:60S ribosomal protein L17;  GO-Annotations:GO:0003735;GO:0002181;GO:0022625;
GHHK01018354_1__68_892___	PTHR43943	SF:PTHR43943:SF2;NAME:SD02021p;
GHHK01021658_1__194_1297___	PTHR43247	SF:PTHR43247:SF1;NAME:Phosphoserine aminotransferase;  GO-Annotations:GO:0004648;GO:0005737;GO:0006564;
GHHK01019991_1__117_497___	PTHR11604	SF:PTHR11604:SF0;NAME:Profilin;  GO-Annotations:GO:0005938;GO:0042989;GO:0003785;
GHHK01005239_1__101_1537___	PTHR11802	SF:PTHR11802:SF98;NAME:serine carboxypeptidase CPVL-related;  GO-Annotations:GO:0051603;GO:0004185;
GHHK01013585_1__166_1152___	PTHR31395	SF:PTHR31395:SF16;NAME:;
GHHK01013978_1__112_2688___	PTHR23167	SF:PTHR23167:SF19;NAME:Alpha actinin 3-related;  GO-Annotations:GO:0005815;GO:0030036;GO:0031941;
GHHK01029864_1__1_1053___	PTHR24258	SF:PTHR24258:SF116;NAME:Masquerade, isoform B;
GHHK01006800_1__382_3273___	PTHR24115	SF:PTHR24115:SF9;NAME:Kinesin heavy chain;  GO-Annotations:GO:0007411;GO:0030705;GO:0016887;GO:0008104;GO:0003777;GO:0008574;GO:0005871;GO:0007018;
GHHK01018018_1__220_1335___	PTHR43245	SF:PTHR43245:SF11;NAME:;
GHHK01014441_1__108_896___	PTHR31802	;
GHHK01010323_1__213_1055___	PTHR19969	SF:PTHR19969:SF5;NAME:Adapter molecule Crk;
GHHK01017338_1__2_469___	PTHR11407	SF:PTHR11407:SF30;NAME:Glycosidase-related;  GO-Annotations:GO:0005615;GO:0003796;GO:0050829;GO:0050830;
GHHK01016153_1__357_2369___	PTHR19961	SF:PTHR19961:SF18;NAME:FI19014p1;  GO-Annotations:GO:0051015;GO:0005737;GO:0051017;GO:0032432;GO:0005884;GO:0051764;GO:0051639;
GHHK01013740_1__116_1576___	PTHR11475	SF:PTHR11475:SF82;NAME:Cardinal;  GO-Annotations:GO:0004601;
GHHK01016883_1__1_894___	PTHR11475	SF:PTHR11475:SF82;NAME:Cardinal;  GO-Annotations:GO:0004601;
GHHK01017113_1__50_2635___	PTHR11475	SF:PTHR11475:SF82;NAME:Cardinal;  GO-Annotations:GO:0004601;
GHHK01016911_1__112_2649___	PTHR11475	SF:PTHR11475:SF86;NAME:Peroxidase;  GO-Annotations:GO:0004601;
GHHK01015306_1__386_1324___	PTHR10992	SF:PTHR10992:SF1000;NAME:Protein ABHD14B;  GO-Annotations:GO:0005737;GO:0016787;GO:0008152;
GHHK01016118_1__686_4150___	PTHR24093	SF:PTHR24093:SF369;NAME:Calcium-transporting ATPase;  GO-Annotations:GO:0051480;GO:0005887;GO:0019829;GO:0006874;GO:0043231;GO:0005388;
GHHK01018694_1__1_1113___	PTHR11109	SF:PTHR11109:SF0;NAME:GTP cyclohydrolase 1;  GO-Annotations:GO:0005737;GO:0006729;GO:0005525;GO:0003934;GO:0008270;
GHHK01013869_1__133_918___	PTHR43975	SF:PTHR43975:SF2;NAME:GH07691p-related;
GHHK01011035_1__109_468___	PTHR11069	SF:PTHR11069:SF23;NAME:Glucosylceramidase;  GO-Annotations:GO:0016787;
GHHK01014371_1__2_1261___	PTHR11069	SF:PTHR11069:SF23;NAME:Glucosylceramidase;  GO-Annotations:GO:0016787;
GHHK01013351_1__14_8500___	PTHR23346	SF:PTHR23346:SF7;NAME:eIF-2-alpha kinase activator GCN1;
GHHK01017687_1__1_1032___	PTHR43149	SF:PTHR43149:SF1;NAME:Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial;  GO-Annotations:GO:0051750;GO:0016853;
GHHK01009471_1__182_1546___	PTHR10223	SF:PTHR10223:SF0;NAME:26S proteasome non-ATPase regulatory subunit 4;  GO-Annotations:GO:0043248;GO:0031593;GO:0005829;GO:0008540;GO:0005634;GO:0043161;
GHHK01012674_1__70_807___	PTHR11524	SF:PTHR11524:SF16;NAME:60S ribosomal protein L7-related;  GO-Annotations:GO:0003735;GO:0044822;GO:0002181;GO:0000463;GO:0022625;
GHHK01016617_1__79_729___	PTHR10502	SF:PTHR10502:SF173;NAME:Annexin B10;
GHHK01009007_1__2_367___	PTHR10502	SF:PTHR10502:SF140;NAME:Annexin A13;
GHHK01014411_1__3_488___	PTHR11588	SF:PTHR11588:SF120;NAME:;
GHHK01030107_1__2_631___	PTHR11588	SF:PTHR11588:SF255;NAME:Tuba7l protein;
GHHK01008410_1__2_805___	PTHR11588	SF:PTHR11588:SF9;NAME:Tubulin beta-1 chain-related;
GHHK01029289_1__90_419___	PTHR11588	SF:PTHR11588:SF265;NAME:Alpha tubulin-like protein-related;
GHHK01026753_1__101_643___	PTHR11588	SF:PTHR11588:SF248;NAME:Tubulin alpha-2 chain;
GHHK01018775_1__78_713___	PTHR11588	SF:PTHR11588:SF120;NAME:;
GHHK01000827_1__2_1264___	PTHR11588	SF:PTHR11588:SF9;NAME:Tubulin beta-1 chain-related;
GHHK01021185_1__1_321___	PTHR11588	SF:PTHR11588:SF9;NAME:Tubulin beta-1 chain-related;
GHHK01030119_1__100_819___	PTHR11588	SF:PTHR11588:SF257;NAME:;
GHHK01008984_1__30_872___	PTHR11588	SF:PTHR11588:SF9;NAME:Tubulin beta-1 chain-related;
GHHK01007991_1__58_996___	PTHR11588	SF:PTHR11588:SF9;NAME:Tubulin beta-1 chain-related;
GHHK01030123_1__100_1116___	PTHR11588	SF:PTHR11588:SF265;NAME:Alpha tubulin-like protein-related;
GHHK01019276_1__78_713___	PTHR11588	SF:PTHR11588:SF120;NAME:;
GHHK01010849_1__55_537___	PTHR10792	SF:PTHR10792:SF1;NAME:60S ribosomal protein L24;  GO-Annotations:GO:0003735;GO:0044822;GO:0000027;GO:0006412;GO:0022625;GO:1902626;
GHHK01013711_1__740_1621___	PTHR14315	SF:PTHR14315:SF17;NAME:;
GHHK01019443_1__127_1275___	PTHR10996	SF:PTHR10996:SF137;NAME:Glyoxylate reductase/hydroxypyruvate reductase;  GO-Annotations:GO:0030267;GO:0016616;GO:0003714;GO:0005829;GO:0016618;GO:0005634;GO:0042803;
GHHK01000700_1__69_839___	PTHR43658	SF:PTHR43658:SF6;NAME:3-hydroxyacyl-CoA dehydrogenase type-2;
GHHK01025726_1__31_1035___	PTHR10836	SF:PTHR10836:SF52;NAME:Glyceraldehyde-3-phosphate dehydrogenase-related;
GHHK01021636_1__16_1473___	PTHR11811	SF:PTHR11811:SF25;NAME:6-phosphogluconate dehydrogenase, decarboxylating;
GHHK01004774_1__1_369___	PTHR10759	SF:PTHR10759:SF0;NAME:60S ribosomal protein L34;  GO-Annotations:GO:0003735;GO:0022625;GO:0042254;
GHHK01000499_1__46_663___	PTHR11205	SF:PTHR11205:SF18;NAME:40S ribosomal protein S5;  GO-Annotations:GO:0003735;GO:0003729;GO:0006412;GO:0005840;GO:0000028;GO:0019843;GO:0022627;
GHHK01008828_1__1_438___	PTHR11205	SF:PTHR11205:SF18;NAME:40S ribosomal protein S5;  GO-Annotations:GO:0003735;GO:0003729;GO:0006412;GO:0005840;GO:0000028;GO:0019843;GO:0022627;
GHHK01001037_1__3_500___	PTHR24351	SF:PTHR24351:SF111;NAME:Protein kinase 3-related;  GO-Annotations:GO:0005737;GO:0006468;GO:0035556;GO:0005634;GO:0004674;
GHHK01004796_1__456_2768___	PTHR24351	SF:PTHR24351:SF110;NAME:Ribosomal protein S6 kinase II, isoform A;  GO-Annotations:GO:0033554;GO:0005737;GO:0006468;GO:0004711;GO:0035556;GO:0005634;GO:0004674;
GHHK01007826_1__131_1885___	PTHR24351	SF:PTHR24351:SF166;NAME:Ribosomal protein S6 kinase;  GO-Annotations:GO:0005737;GO:0006468;GO:0004711;GO:0035556;GO:0005634;GO:0004674;
GHHK01027821_1__92_1555___	PTHR24351	SF:PTHR24351:SF111;NAME:Protein kinase 3-related;  GO-Annotations:GO:0005737;GO:0006468;GO:0035556;GO:0005634;GO:0004674;
GHHK01004498_1__3_800___	PTHR11620	SF:PTHR11620:SF2;NAME:FI01658p;  GO-Annotations:GO:0003735;GO:0000027;GO:0022625;
GHHK01027508_1__157_1110___	PTHR11903	SF:PTHR11903:SF16;NAME:;
GHHK01014844_1__3_1787___	PTHR11819	SF:PTHR11819:SF171;NAME:Sodium/myo-inositol cotransporter 2;
GHHK01029149_1__45_1202___	PTHR13683	SF:PTHR13683:SF249;NAME:Beta-site APP-cleaving enzyme, isoform A-related;  GO-Annotations:GO:0006508;GO:0030163;GO:0004190;
GHHK01029643_1__1_330___	PTHR11830	SF:PTHR11830:SF0;NAME:40S ribosomal protein S3a;  GO-Annotations:GO:0005829;
GHHK01019144_1__124_921___	PTHR11830	SF:PTHR11830:SF0;NAME:40S ribosomal protein S3a;  GO-Annotations:GO:0005829;
GHHK01014156_1__124_921___	PTHR11830	SF:PTHR11830:SF0;NAME:40S ribosomal protein S3a;  GO-Annotations:GO:0005829;
GHHK01008504_1__141_1070___	PTHR11668	SF:PTHR11668:SF301;NAME:Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform;
GHHK01020245_1__61_957___	PTHR11668	SF:PTHR11668:SF282;NAME:Serine/threonine-protein phosphatase PP1-beta catalytic subunit;
GHHK01029151_1__149_2002___	PTHR11668	SF:PTHR11668:SF118;NAME:Serine/threonine-protein phosphatase 2B catalytic subunit 1-related;
GHHK01026642_1__136_1035___	PTHR11668	SF:PTHR11668:SF402;NAME:Serine/threonine-protein phosphatase;
GHHK01017367_1__119_1018___	PTHR10374	SF:PTHR10374:SF20;NAME:Glyoxalase domain-containing protein 4;
GHHK01011018_1__224_2908___	PTHR10261	SF:PTHR10261:SF0;NAME:Coatomer subunit gamma-2;
GHHK01016920_1__2_1351___	PTHR11409	SF:PTHR11409:SF43;NAME:Adenosine deaminase;  GO-Annotations:GO:0043103;GO:0006154;GO:0046103;GO:0004000;GO:0005829;
GHHK01012905_1__108_1262___	PTHR15350	SF:PTHR15350:SF2;NAME:Eukaryotic translation initiation factor 3 subunit M;  GO-Annotations:GO:0002183;GO:0005852;
GHHK01001525_1__1_366___	PTHR44086	SF:PTHR44086:SF1;NAME:Thiosulfate sulfurtransferase/rhodanese-like domain-containing protein 3;
GHHK01011424_1__366_1529___	PTHR10137	SF:PTHR10137:SF0;NAME:V-type proton ATPase subunit C 1-A-related;  GO-Annotations:GO:0046961;GO:0005765;GO:0000221;GO:0008553;
GHHK01014704_1__67_1089___	PTHR10584	SF:PTHR10584:SF24;NAME:Adenosine kinase;  GO-Annotations:GO:0005737;GO:0005829;GO:0005634;GO:0004001;
GHHK01010521_1__91_1086___	PTHR23382	SF:PTHR23382:SF3;NAME:Malate dehydrogenase, cytoplasmic;  GO-Annotations:GO:0006734;GO:0030060;GO:0006099;GO:0006107;GO:0005829;GO:0005739;GO:0006108;
GHHK01017061_1__38_1294___	PTHR11177	SF:PTHR11177:SF301;NAME:chitinase 2-related;  GO-Annotations:GO:0006032;GO:0004568;GO:0008061;GO:0005576;
GHHK01017834_1__161_1387___	PTHR11177	SF:PTHR11177:SF312;NAME:Di-N-acetylchitobiase;  GO-Annotations:GO:0006032;GO:0004568;GO:0008061;GO:0005576;
GHHK01001186_1__1_465___	PTHR43998	SF:PTHR43998:SF2;NAME:Filamin-A;
GHHK01001065_1__3_2870___	PTHR43998	SF:PTHR43998:SF2;NAME:Filamin-A;
GHHK01001130_1__376_4479___	PTHR43998	SF:PTHR43998:SF2;NAME:Filamin-A;
GHHK01000693_1__1_1260___	PTHR11985	SF:PTHR11985:SF15;NAME:Glycerol-3-phosphate dehydrogenase, mitochondrial;
GHHK01009818_1__188_961___	PTHR24321	SF:PTHR24321:SF8;NAME:DeHydrogenases, Short chain;
GHHK01000752_1__147_539___	PTHR23338	SF:PTHR23338:SF17;NAME:Small nuclear ribonucleoprotein Sm D3;  GO-Annotations:GO:0005685;GO:0005686;GO:0071011;GO:0097526;GO:0034719;GO:0005689;GO:0000243;GO:0003723;GO:0005687;GO:0034715;GO:0071013;GO:0005682;GO:0000387;
GHHK01013126_1__81_2654___	PTHR11566	SF:PTHR11566:SF132;NAME:Dynamin;  GO-Annotations:GO:0031623;GO:0005737;GO:0048285;GO:0008017;GO:0003924;GO:0003374;GO:0061025;GO:0000266;GO:0031966;
GHHK01007756_1__209_1855___	PTHR11566	SF:PTHR11566:SF21;NAME:Dynamin related protein 1, isoform A;  GO-Annotations:GO:0005737;GO:0048285;GO:0008017;GO:0003924;GO:0003374;GO:0008637;GO:0061025;GO:0000266;GO:0031966;
GHHK01008459_1__100_1038___	PTHR19965	SF:PTHR19965:SF35;NAME:THO complex subunit 4;
GHHK01019734_1__115_906___	PTHR19965	SF:PTHR19965:SF35;NAME:THO complex subunit 4;
GHHK01006394_1__116_1792___	PTHR19965	SF:PTHR19965:SF34;NAME:Polymerase delta-interacting protein 3;
GHHK01019814_1__262_2712___	PTHR13803	SF:PTHR13803:SF13;NAME:Sec24CD ortholog, isoform C;
GHHK01011286_1__1_1002___	PTHR23410	SF:PTHR23410:SF12;NAME:60S ribosomal protein L5;  GO-Annotations:GO:0003735;GO:0044822;GO:0000027;GO:0022625;GO:0008097;
GHHK01005235_1__1_777___	PTHR10763	SF:PTHR10763:SF26;NAME:Cell division control protein 6 homolog;
GHHK01006395_1__2_745___	PTHR18916	SF:PTHR18916:SF6;NAME:Dynactin subunit 1;
GHHK01005869_1__3_323___	PTHR11143	SF:PTHR11143:SF7;NAME:Ribosomal protein L26;  GO-Annotations:GO:0003735;GO:0042273;GO:0044822;GO:0002181;GO:0022625;
GHHK01026802_1__184_2271___	PTHR24355	SF:PTHR24355:SF18;NAME:Protein-serine/threonine kinase;
GHHK01019164_1__219_1649___	PTHR12411	SF:PTHR12411:SF15;NAME:RE01730p;  GO-Annotations:GO:0005615;GO:0007155;
GHHK01009822_1__167_1183___	PTHR12411	SF:PTHR12411:SF414;NAME:Cathepsin L-related;  GO-Annotations:GO:0005615;GO:0051603;GO:0005764;GO:0004197;
GHHK01016726_1__145_1143___	PTHR12411	SF:PTHR12411:SF16;NAME:Cathepsin B;  GO-Annotations:GO:0005615;GO:0051603;GO:0005764;GO:0004197;
GHHK01019514_1__1_1365___	PTHR12411	SF:PTHR12411:SF354;NAME:Dipeptidyl peptidase 1;  GO-Annotations:GO:0005615;GO:0051603;GO:0005764;GO:0004197;
GHHK01008544_1__94_864___	PTHR11815	SF:PTHR11815:SF5;NAME:Succinyl-CoA ligase [GDP-forming] subunit beta, mitochondrial;
GHHK01017844_1__39_1424___	PTHR11815	SF:PTHR11815:SF1;NAME:Succinyl-CoA ligase [ADP-forming] subunit beta, mitochondrial;
GHHK01004728_1__3_305___	PTHR13711	SF:PTHR13711:SF302;NAME:FACT complex subunit Ssrp1-related;  GO-Annotations:GO:0006338;GO:0003682;GO:0006355;GO:0005634;
